	State	id	Average Age	Currently Diagnosed	Previously Diagnosed
0	Alabama	1	39.888888888888886	0.5555555555555556	0.2222222222222222
1	Alaska	2	37.666666666666664	0.0	0.0
2	Arizona	4	35.5	0.4166666666666667	0.5
3	California	6	34.34939759036145	0.4779116465863454	0.6008064516129032
4	Colorado	8	34.8421052631579	0.47368421052631576	0.5
5	Connecticut	9	36.111111111111114	0.4444444444444444	0.4444444444444444
6	Delaware	10	36.0	1.0	1.0
7	District of Columbia	11	36.0	0.4166666666666667	0.5
8	Florida	12	36.78787878787879	0.36363636363636365	0.45454545454545453
9	Georgia	13	37.206896551724135	0.3448275862068966	0.3793103448275862
10	Hawaii	15	29.0	0.0	0.0
11	Idaho	16	34.8	0.4	0.6
12	Illinois	17	34.07027027027027	0.510989010989011	0.5274725274725275
13	Indiana	18	35.09375	0.4375	0.46875
14	Iowa	19	36.92857142857143	0.5714285714285714	0.5
15	Kansas	20	30.736842105263158	0.3157894736842105	0.16666666666666666
16	Kentucky	21	35.6	0.6	0.8
17	Louisiana	22	35.333333333333336	0.6666666666666666	0.6666666666666666
18	Maine	23	39.6	0.4	0.6
19	Maryland	24	40.583333333333336	0.5	0.4583333333333333
20	Massachusetts	25	34.05263157894737	0.5087719298245614	0.543859649122807
21	Michigan	26	35.79220779220779	0.42857142857142855	0.5324675324675324
22	Minnesota	27	36.14473684210526	0.5657894736842105	0.64
23	Mississippi	28	46.0	1.0	1.0
24	Missouri	29	37.57692307692308	0.2692307692307692	0.34615384615384615
25	Montana	30	31.5	0.0	0.5
26	Nebraska	31	32.725	0.3	0.46153846153846156
27	Nevada	32	39.666666666666664	0.16666666666666666	0.16666666666666666
28	New Hampshire	33	37.75	0.5	0.75
29	New Jersey	34	31.555555555555557	0.6111111111111112	0.5555555555555556
30	New Mexico	35	32.5	0.5	0.5
31	New York	36	32.45348837209303	0.5	0.4883720930232558
32	North Carolina	37	38.8	0.5333333333333333	0.6666666666666666
33	North Dakota	38	37.714285714285715	0.42857142857142855	0.42857142857142855
34	Ohio	39	34.88732394366197	0.5211267605633803	0.5915492957746479
35	Oklahoma	40	31.285714285714285	0.2857142857142857	0.5
36	Oregon	41	42.46551724137931	0.47368421052631576	0.49122807017543857
37	Pennsylvania	42	33.45	0.6379310344827587	0.6379310344827587
38	Rhode Island	44	33.25	0.25	0.5
39	South Carolina	45	30.5	0.75	0.75
40	South Dakota	46	37.4	0.4	0.8
41	Tennessee	47	34.32258064516129	0.4032258064516129	0.45161290322580644
42	Texas	48	34.901408450704224	0.5633802816901409	0.6338028169014085
43	Utah	49	37.57142857142857	0.5384615384615384	0.38461538461538464
44	Vermont	50	42.4	0.4	0.6
45	Virginia	51	34.95652173913044	0.4782608695652174	0.5
46	Washington	53	35.146341463414636	0.5432098765432098	0.6
47	West Virginia	54	39.0	0.0	0.0
48	Wisconsin	55	35.285714285714285	0.64	0.71
