	State	id	Average Age	Currently Diagnosed	Previously Diagnosed
0	Afghanistan	AFG	52.5	0.5	0.5
1	Argentina	ARG	33.67	0.0	0.0
2	Australia	AUS	37.54	0.5	0.58
3	Austria	AUT	35.86	0.14285714285714285	0.42857142857142855
4	Bangladesh	BGD	32.0	0.3333333333333333	0.3333333333333333
5	Belgium	BEL	36.0	0.2857142857142857	0.2857142857142857
6	Bosnia and Herzegovina	BIH	25.0	0.0	0.0
7	Brazil	BRA	27.08	0.38461538461538464	0.46153846153846156
8	Brunei	BRN	35.0	0.0	0.0
9	Bulgaria	BGR	32.89	0.2222222222222222	0.2222222222222222
10	Canada	CAN	32.87	0.34285714285714286	0.41904761904761906
11	Chile	CHL	27.33	0.3333333333333333	0.6666666666666666
12	China	CHN	42.0	0.0	0.0
13	Colombia	COL	29.5	0.0	0.25
14	Costa Rica	CRI	28.0	0.0	0.0
15	Croatia	HRV	30.0	1.0	1.0
16	Czech Republic	CZE	29.25	0.0	0.5
17	Denmark	DNK	32.71	0.2857142857142857	0.42857142857142855
18	Ecuador	ECU	25.0	1.0	1.0
19	Eritrea	ERI	34.0	0.0	0.0
20	Estonia	EST	33.67	0.0	0.3333333333333333
21	Ethiopia	ETH	35.0	0.0	0.0
22	Finland	FIN	30.6	0.3	0.4
23	France	FRA	33.27	0.15151515151515152	0.21212121212121213
24	Georgia	GEO	38.0	0.0	0.0
25	Germany	DEU	33.4	0.22093023255813954	0.37209302325581395
26	Greece	GRC	36.33	0.3333333333333333	0.3333333333333333
27	Guatemala	GTM	22.0	1.0	1.0
28	Hungary	HUN	31.5	0.0	0.5
29	Iceland	ISL	36.0	1.0	1.0
30	India	IND	28.35	0.15384615384615385	0.12
31	Indonesia	IDN	27.5	0.0	0.0
32	Iran	IRN	32.0	0.0	0.0
33	Ireland	IRL	36.76	0.3333333333333333	0.47619047619047616
34	Israel	ISR	33.0	0.0	0.3333333333333333
35	Italy	ITA	37.38	0.25	0.125
36	Japan	JPN	34.4	0.2	0.0
37	Jordan	JOR	24.0	0.0	0.0
38	Kenya	KEN	27.0	0.0	0.0
39	Latvia	LVA	47.0	0.0	0.0
40	Lithuania	LTU	28.0	1.0	1.0
41	Luxembourg	LUX	33.0	0.0	0.0
42	Macedonia	MKD	22.0	0.0	0.0
43	Mexico	MEX	33.62	0.125	0.75
44	Netherlands	NLD	33.64	0.4153846153846154	0.4153846153846154
45	New Zealand	NZL	40.07	0.2857142857142857	0.35714285714285715
46	Nigeria	NGA	24.0	0.0	0.0
47	Norway	NOR	34.17	0.3333333333333333	0.5
48	Pakistan	PAK	30.0	0.25	0.3333333333333333
49	Poland	POL	32.8	0.2	0.5
50	Portugal	PRT	29.25	0.5	0.5
51	Romania	ROU	31.57	0.14285714285714285	0.14285714285714285
52	Russia	RUS	27.69	0.07692307692307693	0.15384615384615385
53	Saudi Arabia	SAU	27.0	0.0	0.0
54	Slovakia	SVK	37.0	0.0	0.0
55	South Africa	ZAF	31.75	0.25	0.125
56	Spain	ESP	34.43	0.047619047619047616	0.14285714285714285
57	Swaziland	SWZ	53.0	0.0	1.0
58	Sweden	SWE	33.91	0.17391304347826086	0.30434782608695654
59	Switzerland	CHE	34.47	0.4117647058823529	0.5294117647058824
60	Turkey	TUR	36.33	0.0	0.0
61	Ukraine	UKR	27.0	0.0	0.0
62	United Arab Emirates	ARE	33.0	1.0	1.0
63	United Kingdom	GBR	34.06	0.3595505617977528	0.4752851711026616
64	United States of America	USA	35.15	0.48	0.54
65	Uruguay	URY	35.0	0.0	0.0
66	Venezuela	VEN	29.0	0.0	0.0
67	Vietnam	VNM	22.0	0.0	0.0
